152904,360011,958643,441417,3669908,2611849,547725,81381,109760,1560853,146994,111752,110449,88528,62943,131881,118262,449898,263826,109271,70407,447831,207377,81103,1996564,95897,356476,56225,86980,452672,56958,153442,2877746,89820,441765,151620,226126,100725,102324,118567,70489,94968,0,97485,1603604,74695,125571,807911,90856,128232,135617,175360,249554
198073,410810,1002532,490332,3719291,2659718,595190,49566,152543,1609384,197565,39291,157666,135883,76976,57860,45939,496767,311087,154324,68180,495666,257406,131602,2044947,26992,403155,83286,40651,501269,106087,203869,2925871,138135,486966,201241,271379,29652,31709,168442,62168,25985,97485,0,1652391,58466,53044,857798,30817,176271,62020,221761,299449
1541718,1398919,1022933,1354057,2623296,1555251,1281835,1636713,1574328,645637,1544198,1665590,1568815,1580716,1617023,1683795,1671752,1343940,1470942,1570071,1626719,1345337,1505601,1586187,921422,1650217,1408912,1615857,1641584,1339484,1603634,1538974,1862764,1581896,1350523,1539730,1494118,1656673,1658320,1561539,1629157,1651612,1603604,1652391,0,1629047,1678123,1113837,1647352,1552818,1687797,1525948,1477298
177653,388608,981990,468848,3696397,2637024,572812,39784,131543,1586644,174201,69779,135984,115195,55168,91124,77261,476157,288789,133484,43176,471830,235534,110328,2021723,56352,383003,60714,45629,479337,82713,183509,2905049,115459,466800,178437,250303,60862,61297,146116,41568,56627,74695,58466,1629047,0,85310,837528,54553,155451,94554,200845,274233
222151,435956,1027738,518086,3745747,2686068,622010,76528,180923,1635086,224105,32049,186000,164105,104638,15686,22065,522423,337795,182250,93872,523602,284204,158374,2071211,53762,428321,110534,68033,528465,128355,230223,2952313,162521,513086,228217,297721,46782,43597,194240,89092,53395,125571,53044,1678123,85310,0,886838,57943,205945,20726,249051,324875
744445,601672,450878,553400,3158637,2098596,480508,843470,777737,1058762,744249,873107,771472,785031,826314,892330,879619,554085,671831,773998,834434,549972,709488,790906,1458863,858464,611405,821328,848035,541351,808749,733011,2382055,786229,556210,740725,692879,861230,862647,758866,832726,857471,807911,857798,1113837,837528,886838,0,851821,759759,896740,728955,677365
191710,405491,997093,486717,3715000,2655491,589021,44203,148894,1605199,191478,44700,153249,131818,73739,65377,51360,490678,306908,149227,62601,489997,252667,125479,2039794,29353,397100,77681,35558,493830,97538,198552,2919082,132270,484109,196554,267360,33919,36318,159111,56181,28716,90856,30817,1647352,54553,57943,851821,0,172086,69501,216966,294394
102654,311745,905721,386369,3617428,2555723,493023,160947,91670,1507115,91230,190446,87093,101730,141337,210779,197962,397344,212816,87927,147141,392789,153423,107597,1938662,174033,303122,138591,165846,406038,123964,105266,2826062,100710,389235,98724,173538,180661,182132,82927,151727,174536,128232,176271,1552818,155451,205945,759759,172086,0,215887,119980,197108
232265,445968,1037706,526618,3753961,2695066,631052,85978,188695,1644524,233303,41829,194276,172975,113112,11576,32145,532313,346875,190526,103324,532526,294606,167208,2080397,65390,439293,119264,79259,538131,139223,239491,2961523,173437,522690,237643,308959,56558,53217,203642,98872,64103,135617,62020,1687797,94554,20726,896740,69501,215887,0,257899,334961
105276,282937,878515,361639,3589174,2531947,467353,205399,137548,1481829,108752,233924,135045,145802,185753,253499,240468,368520,186740,135643,193241,368737,125265,152547,1911574,219417,274532,184789,210626,376052,169322,103630,2797768,145042,366333,105040,145796,224499,227050,126985,198181,218938,175360,221761,1525948,200845,249051,728955,216966,119980,257899,0,167630
183682,232949,827133,309487,3540662,2481737,415109,282919,213520,1427077,185712,312158,212147,225820,265085,330961,317626,318324,134826,209711,271729,316845,144789,228119,1856066,297459,223192,261873,287640,323072,244648,178526,2749114,224324,316015,184332,135970,301953,303136,202587,274829,296492,249554,299449,1477298,274233,324875,677365,294394,197108,334961,167630,0
